word,pos,cefr
Christian,adjective,B1
DNA,noun,B2
ID card,noun,A2
Olympics,noun,A1
T-shirt,noun,A1
X-ray,noun,B2
a,determiner,A1
abandon,verb,B1
abandoned,adjective,B2
ability,noun,A2
able,adjective,B1
abnormal,adjective,B1
aboard,adverb,B1
abolish,verb,B2
about,adverb,A1
about,preposition,A1
above,adjective,B1
above,adverb,A1
above,preposition,A1
abroad,adverb,A2
abrupt,adjective,B2
absence,noun,B1
absent,adjective,B1
absolute,adjective,B1
absorb,verb,B1
abstract,adjective,B1
absurd,adjective,B2
abundance,noun,B1
abundant,adjective,B1
abuse,noun,B2
academic,adjective,B1
academy,noun,B1
accent,noun,B1
accept,verb,A2
acceptable,adjective,A2
acceptance,noun,B1
access,noun,B1
access,verb,B2
accessibility,noun,B2
accessible,adjective,B1
accessory,noun,B1
accident,noun,A2
accidental,adjective,B1
accommodation,noun,B2
accompany,verb,B1
accomplish,verb,B1
according to,preposition,B1
accordingly,adverb,B2
account,noun,A2
account,verb,B1
accountant,noun,B1
accumulate,verb,B2
accuracy,noun,B1
accurate,adjective,B1
accusation,noun,B2
accuse,verb,B1
accustom,verb,B1
ache,verb,B2
ache,noun,B1
achievable,adjective,B2
achieve,verb,A2
achievement,noun,B1
acid,noun,B2
acknowledge,verb,B1
acknowledgment,noun,B1
acquaintance,noun,B1
acquire,verb,B1
acquisition,noun,B2
across,adverb,A2
across,preposition,A2
act,noun,A2
act,verb,B1
action,noun,A1
active,adjective,B1
activity,noun,A1
actor,noun,A1
actress,noun,B1
actual,adjective,B2
actually,adverb,A2
acute,adjective,B2
ad,noun,B1
adapt,verb,B1
adaptable,adjective,B2
add,verb,A1
addict,noun,B2
addicted,adjective,B2
addiction,noun,B2
addition,noun,A2
additional,adjective,A2
address,verb,B1
address,noun,A1
addressee,noun,B1
adequate,adjective,B2
adjective,noun,A2
adjust,verb,A2
adjustment,noun,B2
administration,noun,B1
administrative,adjective,B2
admirable,adjective,B2
admiration,noun,B1
admire,verb,A2
admission,noun,B1
admit,verb,A2
admittedly,adverb,B2
adopt,verb,B1
adopted,adjective,B2
adoption,noun,B2
adorable,adjective,B1
adore,verb,B2
adorn,verb,B2
adult,noun,A2
adult,adjective,A2
advance,noun,B2
advance,verb,B1
advanced,adjective,A2
advancement,noun,B2
advantage,noun,A2
advent,noun,B2
adventure,noun,A2
adventurous,adjective,B2
adverb,noun,B1
adverse,adjective,B2
adversity,noun,B2
advertise,verb,B1
advertisement,noun,A2
advice,noun,A2
advise,verb,A2
adviser,noun,B1
affair,noun,A2
affect,verb,B1
affection,noun,B1
affectionate,adjective,B2
afford,verb,B1
affordable,adjective,B2
afraid,adjective,A1
after,preposition,A1
after,adverb,A2
after,conjunction,B1
afternoon,noun,A1
afterwards,adverb,B1
again,adverb,A1
against,preposition,A2
age,noun,A1
agency,noun,A2
agenda,noun,B1
agent,noun,A2
aggressive,adjective,B1
ago,adverb,A1
agonize,verb,B2
agony,noun,B2
agree,verb,A1
agreement,noun,B1
agricultural,adjective,B1
agriculture,noun,B1
ahead,adverb,A2
aid,verb,B1
aid,noun,B1
aim,verb,B2
aim,noun,B1
air,noun,A2
air conditioning,noun,B1
aircraft,noun,B2
airline,noun,B1
airplane,noun,A1
airport,noun,A1
aisle,noun,A2
alarm,noun,A2
alarm,verb,B1
alarm clock,noun,A2
album,noun,A1
alcohol,noun,B1
alcoholic,noun,B2
alcoholic,adjective,B1
alcoholism,noun,B2
alert,verb,B2
alike,adjective,B1
alike,adverb,B1
alive,adjective,A2
all,pronoun,A1
all,adverb,A2
all,determiner,A1
allegation,noun,B2
allergic,adjective,B1
alliance,noun,B2
allow,verb,A2
allowance,noun,B1
ally,noun,B2
almost,adverb,A1
alone,adjective,A2
alone,adverb,A1
along,preposition,A2
along,adverb,A1
aloud,adverb,B1
alphabet,noun,B1
already,adverb,A1
alright,adverb,A2
also,adverb,A1
altar,noun,B2
alter,verb,B2
alternate,verb,B2
alternative,noun,B1
alternative,adjective,B1
alternatively,adverb,B2
although,conjunction,A2
altitude,noun,B2
altogether,adverb,B1
aluminum,noun,B2
always,adverb,A1
amateur,noun,B2
amaze,verb,B2
amazed,adjective,B1
amazement,noun,B2
amazing,adjective,B1
ambassador,noun,B2
ambiguity,noun,B2
ambiguous,adjective,B2
ambition,noun,A2
ambitious,adjective,B1
ambulance,noun,B1
ammonia,noun,B2
among,preposition,A2
amongst,preposition,B2
amount,noun,B1
ample,adjective,B2
amplifier,noun,B2
amplify,verb,B2
amuse,verb,B2
amused,adjective,A2
amusement,noun,A2
amusing,adjective,B1
analogy,noun,B2
analysis,noun,B1
analyst,noun,B2
analyze,verb,B1
ancestor,noun,A2
anchor,noun,B2
ancient,adjective,A2
and,conjunction,A1
angel,noun,A2
anger,noun,B1
angle,noun,B1
angry,adjective,A1
anguish,noun,B2
animal,noun,A1
animate,verb,B2
animation,noun,B1
ankle,noun,A2
anniversary,noun,A2
announce,verb,B1
announcement,noun,B1
annoy,verb,A2
annoyance,noun,B1
annoyed,adjective,B1
annoying,adjective,A2
annual,adjective,B1
anonymous,adjective,B2
another,pronoun,A2
another,determiner,A1
answer,verb,A1
answer,noun,A1
ant,noun,B1
anti,adjective,B1
antiaircraft,adjective,B2
antibacterial,adjective,B2
anticipate,verb,B2
anticipation,noun,B2
antique,noun,B1
antique,adjective,B2
antonym,noun,B1
anxiety,noun,B1
anxious,adjective,A2
any,determiner,A1
any,pronoun,A1
anybody,pronoun,A1
anyhow,adverb,B1
anymore,adverb,A2
anyone,pronoun,A1
anything,pronoun,A1
anyway,adverb,A2
anywhere,adverb,A2
apart,adverb,A2
apartment,noun,A2
ape,noun,B1
apologize,verb,A2
apology,noun,B1
apostrophe,noun,B2
apparent,adjective,B1
appeal,noun,B1
appeal,verb,B2
appear,verb,A2
appearance,noun,A2
appetite,noun,B1
applaud,verb,B1
applause,noun,B1
apple,noun,A1
applicant,noun,B2
application,noun,B1
apply,verb,A2
appoint,verb,B1
appointment,noun,A2
appreciate,verb,A2
appreciation,noun,B1
appreciative,adjective,B2
approach,verb,B2
approach,noun,B1
appropriate,adjective,A2
approval,noun,B1
approve,verb,B1
